,country,year,PEC(TWh),iso_alpha
4134,Iran,1995,1102.891,IRN
4139,Iran,2000,1430.083,IRN
4144,Iran,2005,1971.115,IRN
4149,Iran,2010,2482.026,IRN
4154,Iran,2015,2838.547,IRN
4174,Iraq,1980,95.036,IRQ
4179,Iraq,1985,141.522,IRQ
4184,Iraq,1990,228.2,IRQ
4189,Iraq,1995,368.32,IRQ
4194,Iraq,2000,300.155,IRQ
4199,Iraq,2005,302.195,IRQ
4204,Iraq,2010,403.754,IRQ
4209,Iraq,2015,466.289,IRQ
4229,Ireland,1980,100.274,IRL
4234,Ireland,1985,99.388,IRL
4239,Ireland,1990,116.909,IRL
4244,Ireland,1995,132.077,IRL
4249,Ireland,2000,172.505,IRL
4254,Ireland,2005,187.102,IRL
4259,Ireland,2010,178.434,IRL
4264,Ireland,2015,172.957,IRL
4284,Israel,1980,94.544,ISR
4289,Israel,1985,99.399,ISR
4294,Israel,1990,133.047,ISR
4299,Israel,1995,194.624,ISR
4304,Israel,2000,233.705,ISR
4309,Israel,2005,253.645,ISR
4314,Israel,2010,275.594,ISR
4319,Israel,2015,283.568,ISR
4339,Italy,1980,1714.861,ITA
4344,Italy,1985,1629.698,ITA
4349,Italy,1990,1826.273,ITA
4354,Italy,1995,1908.485,ITA
4359,Italy,2000,2081.305,ITA
4364,Italy,2005,2184.417,ITA
4369,Italy,2010,2023.485,ITA
4374,Italy,2015,1769.081,ITA
4416,Jamaica,1980,34.514,JAM
4421,Jamaica,1985,19.71,JAM
4426,Jamaica,1990,29.864,JAM
4431,Jamaica,1995,39.361,JAM
4436,Jamaica,2000,43.212,JAM
4441,Jamaica,2005,45.906,JAM
4446,Jamaica,2010,33.119,JAM
4451,Jamaica,2015,36.338,JAM
4468,Japan,1980,4244.663,JPN
4473,Japan,1985,4451.01,JPN
4478,Japan,1990,5168.547,JPN
4483,Japan,1995,5868.479,JPN
4488,Japan,2000,6128.864,JPN
4493,Japan,2005,6207.568,JPN
4498,Japan,2010,5869.964,JPN
4503,Japan,2015,5268.915,JPN
4508,Jordan,1980,22.586,JOR
4513,Jordan,1985,35.2,JOR
4518,Jordan,1990,42.19,JOR
4523,Jordan,1995,55.568,JOR
4528,Jordan,2000,65.96,JOR
4533,Jordan,2005,85.394,JOR
4538,Jordan,2010,88.685,JOR
4543,Jordan,2015,108.24,JOR
4545,Kazakhstan,1985,795.094,KAZ
4550,Kazakhstan,1990,858.106,KAZ
4555,Kazakhstan,1995,597.219,KAZ
4560,Kazakhstan,2000,372.892,KAZ
4565,Kazakhstan,2005,527.233,KAZ
4570,Kazakhstan,2010,638.425,KAZ
4575,Kazakhstan,2015,739.358,KAZ
4580,Kenya,1980,28.395,KEN
4585,Kenya,1985,29.52,KEN
4590,Kenya,1990,35.24,KEN
4595,Kenya,1995,39.662,KEN
4600,Kenya,2000,45.165,KEN
4605,Kenya,2005,51.823,KEN
4610,Kenya,2010,67.415,KEN
4615,Kenya,2015,89.885,KEN
4617,Kiribati,1980,0.099,KIR
4622,Kiribati,1985,0.086,KIR
4627,Kiribati,1990,0.076,KIR
4632,Kiribati,1995,0.076,KIR
4637,Kiribati,2000,0.146,KIR
4642,Kiribati,2005,0.266,KIR
4647,Kiribati,2010,0.263,KIR
4652,Kiribati,2015,0.265,KIR
4656,Kosovo,2010,27.731,OWID_KOS
4661,Kosovo,2015,27.981,OWID_KOS
4678,Kuwait,1980,88.107,KWT
4683,Kuwait,1985,128.024,KWT
4688,Kuwait,1990,79.178,KWT
4693,Kuwait,1995,170.334,KWT
4698,Kuwait,2000,229.627,KWT
4703,Kuwait,2005,346.348,KWT
4708,Kuwait,2010,391.745,KWT
4713,Kuwait,2015,450.598,KWT
4721,Kyrgyzstan,1995,51.917,KGZ
4726,Kyrgyzstan,2000,70.775,KGZ
4731,Kyrgyzstan,2005,58.963,KGZ
4736,Kyrgyzstan,2010,60.772,KGZ
4741,Kyrgyzstan,2015,67.842,KGZ
4743,Laos,1980,4.389,LAO
4748,Laos,1985,3.04,LAO
4753,Laos,1990,3.318,LAO
4758,Laos,1995,4.366,LAO
4763,Laos,2000,14.177,LAO
4768,Laos,2005,16.508,LAO
4773,Laos,2010,34.01,LAO
4778,Laos,2015,72.88,LAO
4780,Latvia,1985,105.755,LVA
4785,Latvia,1990,85.661,LVA
4790,Latvia,1995,44.042,LVA
4795,Latvia,2000,37.248,LVA
4800,Latvia,2005,46.361,LVA
4805,Latvia,2010,49.048,LVA
4810,Latvia,2015,40.895,LVA
4815,Lebanon,1980,30.269,LBN
4820,Lebanon,1985,31.281,LBN
4825,Lebanon,1990,20.452,LBN
4830,Lebanon,1995,52.993,LBN
4835,Lebanon,2000,59.198,LBN
4840,Lebanon,2005,62.096,LBN
4845,Lebanon,2010,78.009,LBN
4850,Lebanon,2015,94.054,LBN
4852,Lesotho,1980,0.587,LSO
4857,Lesotho,1985,0.587,LSO
4862,Lesotho,1990,0.689,LSO
4867,Lesotho,1995,0.76,LSO
4872,Lesotho,2000,2.433,LSO
4877,Lesotho,2005,3.07,LSO
4882,Lesotho,2010,4.205,LSO
4887,Lesotho,2015,4.498,LSO
4889,Liberia,1980,9.159,LBR
4894,Liberia,1985,7.487,LBR
4899,Liberia,1990,2.404,LBR
4904,Liberia,1995,1.567,LBR
4909,Liberia,2000,1.893,LBR
4914,Liberia,2005,2.769,LBR
4919,Liberia,2010,3.371,LBR
4924,Liberia,2015,4.867,LBR
4926,Libya,1980,116.587,LBY
4931,Libya,1985,123.411,LBY
4936,Libya,1990,149.022,LBY
4941,Libya,1995,162.364,LBY
4946,Libya,2000,213.117,LBY
4951,Libya,2005,231.124,LBY
4956,Libya,2010,266.824,LBY
4961,Libya,2015,198.534,LBY
4963,Lithuania,1985,180.057,LTU
4968,Lithuania,1990,200.796,LTU
4973,Lithuania,1995,97.82,LTU
4978,Lithuania,2000,77.471,LTU
4983,Lithuania,2005,92.801,LTU
4988,Lithuania,2010,65.518,LTU
4993,Lithuania,2015,63.385,LTU
5013,Luxembourg,1980,38.94,LUX
5018,Luxembourg,1985,32.268,LUX
5023,Luxembourg,1990,37.134,LUX
5028,Luxembourg,1995,33.911,LUX
5033,Luxembourg,2000,37.168,LUX
5038,Luxembourg,2005,52.502,LUX
5043,Luxembourg,2010,50.036,LUX
5048,Luxembourg,2015,42.91,LUX
5090,Madagascar,1980,5.473,MDG
5095,Madagascar,1985,6.036,MDG
5100,Madagascar,1990,4.838,MDG
5105,Madagascar,1995,6.282,MDG
5110,Madagascar,2000,9.559,MDG
5115,Madagascar,2005,9.74,MDG
5120,Madagascar,2010,10.171,MDG
5125,Madagascar,2015,16.6,MDG
5127,Malawi,1980,3.342,MWI
5132,Malawi,1985,3.619,MWI
5137,Malawi,1990,4.631,MWI
5142,Malawi,1995,5.832,MWI
5147,Malawi,2000,6.573,MWI
5152,Malawi,2005,6.991,MWI
5157,Malawi,2010,9.317,MWI
5162,Malawi,2015,6.689,MWI
5179,Malaysia,1980,127.406,MYS
5184,Malaysia,1985,173.969,MYS
5189,Malaysia,1990,257.371,MYS
5194,Malaysia,1995,399.785,MYS
5199,Malaysia,2000,609.782,MYS
5204,Malaysia,2005,812.212,MYS
5209,Malaysia,2010,930.771,MYS
5214,Malaysia,2015,1110.028,MYS
5219,Maldives,1980,0.062,MDV
5224,Maldives,1985,0.265,MDV
5229,Maldives,1990,0.422,MDV
5234,Maldives,1995,1.362,MDV
5239,Maldives,2000,2.864,MDV
5244,Maldives,2005,2.957,MDV
5249,Maldives,2010,4.533,MDV
5254,Maldives,2015,6.613,MDV
5256,Mali,1980,1.997,MLI
5261,Mali,1985,2.433,MLI
5266,Mali,1990,2.447,MLI
5271,Mali,1995,2.68,MLI
5276,Mali,2000,4.375,MLI
5281,Mali,2005,5.358,MLI
5286,Mali,2010,11.995,MLI
5291,Mali,2015,15.696,MLI
5293,Malta,1980,5.573,MLT
5298,Malta,1985,5.303,MLT
5303,Malta,1990,8.937,MLT
5308,Malta,1995,10.005,MLT
5313,Malta,2000,18.53,MLT
5318,Malta,2005,20.73,MLT
5323,Malta,2010,30.417,MLT
5328,Malta,2015,28.165,MLT
5330,Martinique,1980,2.64,MTQ
5335,Martinique,1985,2.933,MTQ
5340,Martinique,1990,6.398,MTQ
5345,Martinique,1995,8.033,MTQ
5350,Martinique,2000,9.417,MTQ
5355,Martinique,2005,9.522,MTQ
5360,Martinique,2010,9.873,MTQ
5365,Martinique,2015,10.811,MTQ
5367,Mauritania,1980,2.758,MRT
5372,Mauritania,1985,3.663,MRT
5377,Mauritania,1990,3.991,MRT
5382,Mauritania,1995,13.997,MRT
5387,Mauritania,2000,5.044,MRT
5392,Mauritania,2005,6.516,MRT
5397,Mauritania,2010,8.764,MRT
5402,Mauritania,2015,11.478,MRT
5404,Mauritius,1980,4.048,MUS
5409,Mauritius,1985,4.102,MUS
5414,Mauritius,1990,7.936,MUS
5419,Mauritius,1995,10.33,MUS
5424,Mauritius,2000,15.983,MUS
5429,Mauritius,2005,18.121,MUS
5434,Mauritius,2010,21.039,MUS
5439,Mauritius,2015,23.355,MUS
5456,Mexico,1980,903.239,MEX
5461,Mexico,1985,1129.204,MEX
5466,Mexico,1990,1267.818,MEX
5471,Mexico,1995,1401.72,MEX
5476,Mexico,2000,1628.18,MEX
5481,Mexico,2005,1877.926,MEX
5486,Mexico,2010,2030.266,MEX
5491,Mexico,2015,2135.641,MEX
5609,Moldova,1995,39.131,MDA
5614,Moldova,2000,31.919,MDA
5619,Moldova,2005,37.033,MDA
5624,Moldova,2010,32.659,MDA
5629,Moldova,2015,38.321,MDA
5631,Mongolia,1980,33.729,MNG
5636,Mongolia,1985,42.812,MNG
5641,Mongolia,1990,44.47,MNG
5646,Mongolia,1995,34.35,MNG
5651,Mongolia,2000,33.091,MNG
5656,Mongolia,2005,36.0,MNG
5661,Mongolia,2010,46.61,MNG
5666,Mongolia,2015,56.426,MNG
5672,Montenegro,2010,16.806,MNE
5677,Montenegro,2015,12.568,MNE
5679,Montserrat,1980,0.075,MSR
5684,Montserrat,1985,0.09,MSR
5689,Montserrat,1990,0.075,MSR
5694,Montserrat,1995,0.194,MSR
5699,Montserrat,2000,0.116,MSR
5704,Montserrat,2005,0.168,MSR
5709,Montserrat,2010,0.271,MSR
5714,Montserrat,2015,0.241,MSR
5731,Morocco,1980,60.504,MAR
5736,Morocco,1985,65.216,MAR
5741,Morocco,1990,82.537,MAR
5746,Morocco,1995,102.342,MAR
5751,Morocco,2000,117.323,MAR
5756,Morocco,2005,160.884,MAR
5761,Morocco,2010,193.769,MAR
5766,Morocco,2015,219.376,MAR
5771,Mozambique,1980,46.525,MOZ
5776,Mozambique,1985,8.639,MOZ
5781,Mozambique,1990,5.089,MOZ
5786,Mozambique,1995,5.428,MOZ
5791,Mozambique,2000,34.467,MOZ
5796,Mozambique,2005,45.579,MOZ
5801,Mozambique,2010,57.715,MOZ
5806,Mozambique,2015,85.697,MOZ
5808,Namibia,1990,9.581,NAM
5813,Namibia,1995,8.482,NAM
5818,Namibia,2000,11.934,NAM
5823,Namibia,2005,14.566,NAM
5828,Namibia,2010,16.148,NAM
5833,Namibia,2015,20.082,NAM
5835,Nauru,1980,0.587,NRU
5840,Nauru,1985,0.587,NRU
5845,Nauru,1990,0.559,NRU
5850,Nauru,1995,0.626,NRU
5855,Nauru,2000,0.458,NRU
5860,Nauru,2005,0.321,NRU
5865,Nauru,2010,0.238,NRU
5870,Nauru,2015,0.286,NRU
5872,Nepal,1980,2.068,NPL
5877,Nepal,1985,2.955,NPL
5882,Nepal,1990,5.294,NPL
5887,Nepal,1995,8.096,NPL
5892,Nepal,2000,14.403,NPL
5897,Nepal,2005,17.488,NPL
5902,Nepal,2010,22.936,NPL
5907,Nepal,2015,25.977,NPL
5924,Netherlands,1980,871.521,NLD
5929,Netherlands,1985,822.433,NLD
5934,Netherlands,1990,910.223,NLD
5939,Netherlands,1995,974.228,NLD
5944,Netherlands,2000,1005.576,NLD
5949,Netherlands,2005,1108.981,NLD
5954,Netherlands,2010,1137.616,NLD
5959,Netherlands,2015,976.851,NLD
5964,Netherlands Antilles,1980,69.813,ANT
5969,Netherlands Antilles,1985,45.466,ANT
5974,Netherlands Antilles,1990,43.145,ANT
5979,Netherlands Antilles,1995,44.725,ANT
5984,Netherlands Antilles,2000,54.762,ANT
5989,Netherlands Antilles,2005,58.4,ANT
5994,Netherlands Antilles,2010,51.475,ANT
5999,Netherlands Antilles,2015,56.306,ANT
6001,New Caledonia,1980,8.145,NCL
6006,New Caledonia,1985,6.807,NCL
6011,New Caledonia,1990,7.428,NCL
6016,New Caledonia,1995,7.734,NCL
6021,New Caledonia,2000,9.978,NCL
6026,New Caledonia,2005,11.93,NCL
6031,New Caledonia,2010,14.844,NCL
6036,New Caledonia,2015,19.363,NCL
6053,New Zealand,1980,129.671,NZL
6058,New Zealand,1985,149.014,NZL
6063,New Zealand,1990,182.149,NZL
6068,New Zealand,1995,210.038,NZL
6073,New Zealand,2000,225.129,NZL
6078,New Zealand,2005,224.107,NZL
6083,New Zealand,2010,230.622,NZL
6088,New Zealand,2015,247.011,NZL
6093,Nicaragua,1980,9.46,NIC
6098,Nicaragua,1985,10.109,NIC
6103,Nicaragua,1990,10.452,NIC
6108,Nicaragua,1995,12.967,NIC
6113,Nicaragua,2000,16.144,NIC
6118,Nicaragua,2005,19.699,NIC
6123,Nicaragua,2010,21.68,NIC
6128,Nicaragua,2015,28.146,NIC
6130,Niger,1980,2.465,NER
6135,Niger,1985,2.657,NER
6140,Niger,1990,3.546,NER
6145,Niger,1995,3.853,NER
6150,Niger,2000,3.116,NER
6155,Niger,2005,3.593,NER
6160,Niger,2010,6.345,NER
6165,Niger,2015,9.386,NER
6167,Nigeria,1980,123.501,NGA
6172,Nigeria,1985,175.033,NGA
6177,Nigeria,1990,203.516,NGA
6182,Nigeria,1995,241.728,NGA
6187,Nigeria,2000,223.889,NGA
6192,Nigeria,2005,316.859,NGA
6197,Nigeria,2010,244.412,NGA
6202,Nigeria,2015,424.344,NGA
6204,Niue,1980,0.013,NIU
6209,Niue,1985,0.013,NIU
6214,Niue,1990,0.013,NIU
6219,Niue,1995,0.013,NIU
6224,Niue,2000,0.028,NIU
6229,Niue,2005,0.027,NIU
6234,Niue,2010,0.024,NIU
6239,Niue,2015,0.032,NIU
6296,North Korea,1980,271.708,PRK
6301,North Korea,1985,270.732,PRK
6306,North Korea,1990,267.584,PRK
6311,North Korea,1995,281.409,PRK
6316,North Korea,2000,261.342,PRK
6321,North Korea,2005,255.236,PRK
6326,North Korea,2010,194.347,PRK
6331,North Korea,2015,99.374,PRK
6333,North Macedonia,1990,29.572,MKD
6338,North Macedonia,1995,28.508,MKD
6343,North Macedonia,2000,30.638,MKD
6348,North Macedonia,2005,32.288,MKD
6353,North Macedonia,2010,33.482,MKD
6358,North Macedonia,2015,29.142,MKD
6363,Northern Mariana Islands,1980,0.0,MNP
6368,Northern Mariana Islands,1985,0.0,MNP
6373,Northern Mariana Islands,1990,0.0,MNP
6378,Northern Mariana Islands,1995,0.0,MNP
6383,Northern Mariana Islands,2000,0.0,MNP
6388,Northern Mariana Islands,2005,0.0,MNP
6393,Northern Mariana Islands,2010,0.0,MNP
6398,Northern Mariana Islands,2015,0.0,MNP
6415,Norway,1980,363.918,NOR
6420,Norway,1985,417.095,NOR
6425,Norway,1990,473.599,NOR
6430,Norway,1995,486.892,NOR
6435,Norway,2000,554.982,NOR
6440,Norway,2005,536.974,NOR
6445,Norway,2010,482.599,NOR
6450,Norway,2015,526.141,NOR
6507,Oman,1980,17.058,OMN
6512,Oman,1985,33.571,OMN
6517,Oman,1990,48.864,OMN
6522,Oman,1995,65.9,OMN
6527,Oman,2000,114.527,OMN
6532,Oman,2005,159.327,OMN
6537,Oman,2010,239.875,OMN
6542,Oman,2015,334.81,OMN
6927,Pakistan,1980,153.151,PAK
6932,Pakistan,1985,215.807,PAK
6937,Pakistan,1990,302.411,PAK
6942,Pakistan,1995,406.572,PAK
6947,Pakistan,2000,480.167,PAK
6952,Pakistan,2005,640.708,PAK
6957,Pakistan,2010,735.584,PAK
6962,Pakistan,2015,811.82,PAK
6970,Palestine,2000,3.505,PSE
6975,Palestine,2005,11.628,PSE
6980,Palestine,2010,8.796,PSE
6985,Palestine,2015,14.441,PSE
6987,Panama,1980,53.586,PAN
6992,Panama,1985,47.963,PAN
6997,Panama,1990,52.263,PAN
7002,Panama,1995,62.023,PAN
7007,Panama,2000,66.482,PAN
7012,Panama,2005,68.959,PAN
7017,Panama,2010,91.311,PAN
7022,Panama,2015,108.946,PAN
7024,Papua New Guinea,1980,8.518,PNG
7029,Papua New Guinea,1985,10.29,PNG
7034,Papua New Guinea,1990,11.113,PNG
7039,Papua New Guinea,1995,13.045,PNG
7044,Papua New Guinea,2000,14.983,PNG
7049,Papua New Guinea,2005,22.11,PNG
7054,Papua New Guinea,2010,24.284,PNG
7059,Papua New Guinea,2015,26.838,PNG
7061,Paraguay,1980,7.911,PRY
7066,Paraguay,1985,17.873,PRY
7071,Paraguay,1990,87.442,PRY
7076,Paraguay,1995,132.787,PRY
7081,Paraguay,2000,165.059,PRY
7086,Paraguay,2005,159.426,PRY
7091,Paraguay,2010,173.559,PRY
7096,Paraguay,2015,183.254,PRY
7113,Peru,1980,106.464,PER
7118,Peru,1985,103.181,PER
7123,Peru,1990,105.196,PER
7128,Peru,1995,131.503,PER
7133,Peru,2000,145.79,PER
7138,Peru,2005,161.846,PER
7143,Peru,2010,222.855,PER
7148,Peru,2015,283.747,PER
7168,Philippines,1980,145.536,PHL
7173,Philippines,1985,133.358,PHL
7178,Philippines,1990,182.2,PHL
7183,Philippines,1995,250.668,PHL
7188,Philippines,2000,299.332,PHL
7193,Philippines,2005,312.225,PHL
7198,Philippines,2010,339.083,PHL
7203,Philippines,2015,441.228,PHL
7223,Poland,1980,1495.108,POL
7228,Poland,1985,1465.947,POL
7233,Poland,1990,1210.054,POL
7238,Poland,1995,1108.357,POL
7243,Poland,2000,1017.055,POL
7248,Poland,2005,1063.204,POL
7253,Poland,2010,1161.828,POL
7258,Poland,2015,1104.381,POL
7278,Portugal,1980,127.236,PRT
7283,Portugal,1985,148.492,PRT
7288,Portugal,1990,196.537,PRT
7293,Portugal,1995,241.297,PRT
7298,Portugal,2000,290.721,PRT
7303,Portugal,2005,294.995,PRT
7308,Portugal,2010,299.251,PRT
7313,Portugal,2015,285.767,PRT
7318,Puerto Rico,1980,65.116,PRI
7323,Puerto Rico,1985,65.541,PRI
7328,Puerto Rico,1990,66.255,PRI
7333,Puerto Rico,1995,66.581,PRI
7338,Puerto Rico,2000,128.84,PRI
7343,Puerto Rico,2005,147.086,PRI
7348,Puerto Rico,2010,94.76,PRI
7353,Puerto Rico,2015,91.893,PRI
7370,Qatar,1980,57.593,QAT
7375,Qatar,1985,78.766,QAT
7380,Qatar,1990,86.296,QAT
7385,Qatar,1995,161.397,QAT
7390,Qatar,2000,134.408,QAT
7395,Qatar,2005,224.39,QAT
7400,Qatar,2010,336.018,QAT
7405,Qatar,2015,568.712,QAT
7410,Reunion,1980,3.503,REU
7415,Reunion,1985,4.9,REU
7420,Reunion,1990,6.623,REU
7425,Reunion,1995,9.428,REU
7430,Reunion,2000,11.082,REU
7435,Reunion,2005,12.144,REU
7440,Reunion,2010,13.085,REU
7445,Reunion,2015,13.094,REU
7462,Romania,1980,729.582,ROU
7467,Romania,1985,712.626,ROU
7472,Romania,1990,733.171,ROU
7477,Romania,1995,551.812,ROU
7482,Romania,2000,417.358,ROU
7487,Romania,2005,454.465,ROU
7492,Romania,2010,394.851,ROU
7497,Romania,2015,377.333,ROU
7502,Russia,1980,13668.878,RUS
7507,Russia,1985,9520.589,RUS
7512,Russia,1990,10039.125,RUS
7517,Russia,1995,7664.493,RUS
7522,Russia,2000,7176.87,RUS
7527,Russia,2005,7466.054,RUS
7532,Russia,2010,7776.155,RUS
7537,Russia,2015,7816.769,RUS
7542,Rwanda,1980,0.904,RWA
7547,Rwanda,1985,3.396,RWA
7552,Rwanda,1990,3.484,RWA
7557,Rwanda,1995,3.399,RWA
7562,Rwanda,2000,2.596,RWA
7567,Rwanda,2005,2.41,RWA
7572,Rwanda,2010,2.949,RWA
7577,Rwanda,2015,4.917,RWA
7579,Saint Helena,1980,0.0,SHN
7584,Saint Helena,1985,0.013,SHN
7589,Saint Helena,1990,0.026,SHN
7594,Saint Helena,1995,0.013,SHN
7599,Saint Helena,2000,0.051,SHN
7604,Saint Helena,2005,0.043,SHN
7609,Saint Helena,2010,0.044,SHN
7614,Saint Helena,2015,0.04,SHN
7616,Saint Kitts and Nevis,1980,0.219,KNA
7621,Saint Kitts and Nevis,1985,0.219,KNA
7626,Saint Kitts and Nevis,1990,0.22,KNA
7631,Saint Kitts and Nevis,1995,0.36,KNA
7636,Saint Kitts and Nevis,2000,0.772,KNA
7641,Saint Kitts and Nevis,2005,0.881,KNA
7646,Saint Kitts and Nevis,2010,1.011,KNA
7651,Saint Kitts and Nevis,2015,1.072,KNA
7653,Saint Lucia,1980,0.587,LCA
7658,Saint Lucia,1985,0.587,LCA
7663,Saint Lucia,1990,0.733,LCA
7668,Saint Lucia,1995,0.865,LCA
7673,Saint Lucia,2000,1.466,LCA
7678,Saint Lucia,2005,1.646,LCA
7683,Saint Lucia,2010,1.799,LCA
7688,Saint Lucia,2015,1.843,LCA
7690,Saint Pierre and Miquelon,1980,0.587,SPM
7695,Saint Pierre and Miquelon,1985,0.587,SPM
7700,Saint Pierre and Miquelon,1990,1.012,SPM
7705,Saint Pierre and Miquelon,1995,0.322,SPM
7710,Saint Pierre and Miquelon,2000,0.282,SPM
7715,Saint Pierre and Miquelon,2005,0.346,SPM
7720,Saint Pierre and Miquelon,2010,0.377,SPM
7725,Saint Pierre and Miquelon,2015,0.399,SPM
7727,Saint Vincent and the Grenadines,1980,0.211,VCT
7732,Saint Vincent and the Grenadines,1985,0.243,VCT
7737,Saint Vincent and the Grenadines,1990,0.362,VCT
7742,Saint Vincent and the Grenadines,1995,0.63,VCT
7747,Saint Vincent and the Grenadines,2000,0.698,VCT
7752,Saint Vincent and the Grenadines,2005,1.018,VCT
7757,Saint Vincent and the Grenadines,2010,1.026,VCT
7762,Saint Vincent and the Grenadines,2015,1.022,VCT
7764,Samoa,1980,0.313,WSM
7769,Samoa,1985,0.635,WSM
7774,Samoa,1990,0.592,WSM
7779,Samoa,1995,0.609,WSM
7784,Samoa,2000,0.797,WSM
7789,Samoa,2005,0.934,WSM
7794,Samoa,2010,1.097,WSM
7799,Samoa,2015,1.515,WSM
7801,Sao Tome and Principe,1980,0.158,STP
7806,Sao Tome and Principe,1985,0.165,STP
7811,Sao Tome and Principe,1990,0.279,STP
7816,Sao Tome and Principe,1995,0.357,STP
7821,Sao Tome and Principe,2000,0.291,STP
7826,Sao Tome and Principe,2005,0.412,STP
7831,Sao Tome and Principe,2010,0.563,STP
7836,Sao Tome and Principe,2015,0.64,STP
7853,Saudi Arabia,1980,419.942,SAU
7858,Saudi Arabia,1985,729.747,SAU
7863,Saudi Arabia,1990,928.35,SAU
7868,Saudi Arabia,1995,1130.007,SAU
7873,Saudi Arabia,2000,1334.906,SAU
7878,Saudi Arabia,2005,1814.511,SAU
7883,Saudi Arabia,2010,2476.789,SAU
7888,Saudi Arabia,2015,3009.485,SAU
7893,Senegal,1980,10.853,SEN
7898,Senegal,1985,12.027,SEN
7903,Senegal,1990,10.636,SEN
7908,Senegal,1995,16.201,SEN
7913,Senegal,2000,19.913,SEN
7918,Senegal,2005,24.907,SEN
7923,Senegal,2010,26.622,SEN
7928,Senegal,2015,32.902,SEN
7933,Serbia,1995,136.254,SRB
7938,Serbia,2000,177.629,SRB
7943,Serbia,2005,212.204,SRB
7948,Serbia,2010,194.023,SRB
7953,Serbia,2015,185.788,SRB
7955,Seychelles,1980,0.88,SYC
7960,Seychelles,1985,1.173,SYC
7965,Seychelles,1990,1.807,SYC
7970,Seychelles,1995,2.162,SYC
7975,Seychelles,2000,3.764,SYC
7980,Seychelles,2005,4.472,SYC
7985,Seychelles,2010,4.197,SYC
7990,Seychelles,2015,4.536,SYC
7992,Sierra Leone,1980,3.227,SLE
7997,Sierra Leone,1985,3.52,SLE
8002,Sierra Leone,1990,4.281,SLE
8007,Sierra Leone,1995,3.573,SLE
8012,Sierra Leone,2000,1.731,SLE
8017,Sierra Leone,2005,2.059,SLE
8022,Sierra Leone,2010,2.906,SLE
8027,Sierra Leone,2015,4.476,SLE
8044,Singapore,1980,111.571,SGP
8049,Singapore,1985,141.894,SGP
8054,Singapore,1990,273.069,SGP
8059,Singapore,1995,388.84,SGP
8064,Singapore,2000,442.913,SGP
8069,Singapore,2005,548.997,SGP
8074,Singapore,2010,797.533,SGP
8079,Singapore,2015,931.024,SGP
8099,Slovakia,1980,218.377,SVK
8104,Slovakia,1985,238.728,SVK
8109,Slovakia,1990,247.298,SVK
8114,Slovakia,1995,208.192,SVK
8119,Slovakia,2000,216.435,SVK
8124,Slovakia,2005,223.357,SVK
8129,Slovakia,2010,202.686,SVK
8134,Slovakia,2015,180.321,SVK
8139,Slovenia,1990,68.489,SVN
8144,Slovenia,1995,73.629,SVN
8149,Slovenia,2000,77.626,SVN
8154,Slovenia,2005,84.191,SVN
8159,Slovenia,2010,85.454,SVN
8164,Slovenia,2015,73.68,SVN
8169,Solomon Islands,1980,0.293,SLB
8174,Solomon Islands,1985,0.587,SLB
8179,Solomon Islands,1990,0.705,SLB
8184,Solomon Islands,1995,0.705,SLB
8189,Solomon Islands,2000,0.754,SLB
8194,Solomon Islands,2005,0.795,SLB
8199,Solomon Islands,2010,0.896,SLB
8204,Solomon Islands,2015,0.95,SLB
8206,Somalia,1980,4.987,SOM
8211,Somalia,1985,5.573,SOM
8216,Somalia,1990,4.072,SOM
8221,Somalia,1995,2.373,SOM
8226,Somalia,2000,2.969,SOM
8231,Somalia,2005,3.297,SOM
8236,Somalia,2010,3.408,SOM
8241,Somalia,2015,3.428,SOM
8313,South Africa,1980,645.687,ZAF
8318,South Africa,1985,914.128,ZAF
8323,South Africa,1990,1028.984,ZAF
8328,South Africa,1995,1116.747,ZAF
8333,South Africa,2000,1184.21,ZAF
8338,South Africa,2005,1298.798,ZAF
8343,South Africa,2010,1469.012,ZAF
8348,South Africa,2015,1401.575,ZAF
8368,South Korea,1980,453.48,KOR
8373,South Korea,1985,622.599,KOR
8378,South Korea,1990,1062.039,KOR
8383,South Korea,1995,1752.338,KOR
8388,South Korea,2000,2267.122,KOR
8393,South Korea,2005,2631.275,KOR
8398,South Korea,2010,3038.15,KOR
8403,South Korea,2015,3297.267,KOR
8411,South Sudan,2015,4.406,SSD
8428,Spain,1980,881.261,ESP
8433,Spain,1985,914.748,ESP
8438,Spain,1990,1060.876,ESP
8443,Spain,1995,1212.368,ESP
8448,Spain,2000,1517.746,ESP
8453,Spain,2005,1783.585,ESP
8458,Spain,2010,1697.972,ESP
8463,Spain,2015,1559.068,ESP
8483,Sri Lanka,1980,16.305,LKA
8488,Sri Lanka,1985,20.532,LKA
8493,Sri Lanka,1990,24.132,LKA
8498,Sri Lanka,1995,34.856,LKA
8503,Sri Lanka,2000,49.674,LKA
8508,Sri Lanka,2005,57.395,LKA
8513,Sri Lanka,2010,65.618,LKA
8518,Sri Lanka,2015,80.807,LKA
8523,Sudan,1980,16.618,SDN
8528,Sudan,1985,19.281,SDN
8533,Sudan,1990,19.878,SDN
8538,Sudan,1995,20.502,SDN
8543,Sudan,2000,32.084,SDN
8548,Sudan,2005,53.16,SDN
8553,Sudan,2010,87.537,SDN
8558,Sudan,2015,89.25,SDN
8560,Suriname,1980,11.624,SUR
8565,Suriname,1985,8.029,SUR
